～おき,～置き,隔，每隔
かたわら,傍ら,旁边，身旁；一面～一面～
かたをもつ,肩を持つ,偏袒，偏向，袒护
かだん,花壇,花坛，花圃
かち,勝ち,胜，赢；往往；常常；比较多
かち,価値,价值
かちき,勝気,要强，好生，刚强，好胜，好强，好胜心强
かちく,家畜,家畜，牲口
かちょう,課長,科长，课长
かつ,且つ,且，并且，加上，而且；同时；边～边～
かつ,勝つ,胜，赢，战胜，获胜
がっか,学科,专业，学科，科目
がっかい,学会,学会，学社
がっかり,,失望，颓丧
かっき,画期,划时代
かっき,活気,活力，生气，朝气，生动，活泼，活跃
がっき,楽器,乐器
がっき,学期,学期
がっきゅう,学級,学级，班级，班组
かつぐ,担ぐ,担，扛，挑，背；骗人；推戴
がっくり,,筋疲力尽
かっこ,括弧,括号，括弧
かっこう,格好,大约，差不多，上下，左右；样子，外形，形状；姿态，打扮；合适
がっこう,学校,学校
がっこうにかよう,学校に通う,上学
がっこうにすすめ,学校に進め,升学
がっこうにはいる,学校に入る,入学
かっこく,各国,各国
かつじ,活字,活字，铅字
がっしょう,合唱,合唱
がっしり,,健壮，牢固
がっち,合致,一致，符合，吻合
がっちり,,结实，用钱仔细
かって,勝手,方便；任意，随便；情况；厨房，生活，生计
かつて,嘗て,曾经，曾，从前
かってにする,勝手にする,随你的便
カット,cut,切，割，剪，砍，去掉，削除（一部分），切割；（乒乓球等的）削球；插图，插画；（电影）一个镜头；（电影）停拍；剪发
かっと,,（烈火）熊熊，（太阳）暴晒；暴怒，勃然大怒；一下子，突然；张开
かつどう,活動,活动，工作
かっぱつ,活発,活泼，活跃
カップ,cup,（有把的）茶杯，茶碗，量杯，优胜杯，杯，奖杯
がっぺい,合併,合并
かつやく,活躍,活跃，活动
かつよう,活用,有效地利用，正确地使用，实际应用，有效运用；活用，词尾变化
かつりょく,活力,活力，生活力，生命力
かてい,仮定,假定，假设
かてい,過程,过程
かてい,家庭,家庭
かてい,課程,课程
カテゴリー,Kategorie,（德）范畴，种类
かど,角,角落，角，隅角，拐角儿；生硬，刺耳，有棱角，不圆滑
かどがたつ,角が立つ,不圆滑，有棱角
かどまつ,門松,门松（新年门前装饰的松枝）
かどまつをかざる,門松を飾る,装饰门松
かな,仮名,（日本字母）假名
かない,家内,家内，家里；一家子，家庭，家属，全家；妻子，内人
かなう,叶う,（希望等）能达到，能实现，能如愿以偿；做得到，能匹敌；受（不）了
かなえる,叶える,能实现，能如愿以偿
かなざわ,金沢,金泽，日本地名
かなしい,悲しい,悲哀的，悲伤的，悲愁，可悲的，遗憾的
かなしみ,悲しみ,悲痛，悲哀，悲伤
かなしむ,悲しむ,悲伤，悲哀，悲痛，可叹，可怜
カナダ,Canada,（国名）加拿大
かなづかい,仮名遣い,假名用法，假名拼写法
かなづち,金槌,锤子，铁锤；不会游泳的人
かならず,必ず,必定，一定，必然
かならずしも,必ずしも,（下接否定）（不）一定～
かならずしも～ない,必ずしも～ない,不一定
かなり,可也,相当，颇，很
かなわない,敵わない,敌不过，比不上，赶不上，经不起
かにゅう,加入,加入，参加
かね,金,金属，铁；钱，钱财
かね,鐘,钟，钟声
かねがなる,鐘が鳴る,钟声响了
かねつ,加熱,加热
かねづかい,金遣い,（金使い）花钱
かねて,予て,事先，老早，以前
かねもち,金持ち,（金持）有钱的人，财主，富人
かねる,兼ねる,兼，兼带，兼任，兼职；碍难，不便，不好意思，不能
かのう,可能,可能
かのうせい,可能性,可能性，可能
かのじょ,彼女,她；女朋友，对象，情妇
カバー,cover,覆盖物，外皮，套子，套鞋；弥补，覆盖，补偿（损失）；书套，套子；（体育）掩护
かばう,庇う,庇护，袒护，保护
かばん,鞄,皮包，提包，公文包，旅行用提箱，公事皮包
かはんすう,過半数,过半数，半数以上
かび,華美,霉，陈旧，陈腐；华丽，华美
かび,黴,霉
かびん,花瓶,花瓶
かびんをわる,花瓶を割る,打碎花瓶
かぶ,株,树墩子，树桩子，树根，（树的）残株；株，棵；股，股份，股票
かぶき,歌舞伎,歌舞伎
かぶさる,,（被さる）盖到...上；互相重叠；落在肩上；波及
かぶしき,株式,股，股份，股票，股权
かぶせる,被せる,盖上，蒙上，包上；浇；（把责任，罪过等）推诿
かぶる,被る,承受，蒙；戴，盖，套；浇上，（灰尘等）落上
かぶれる,気触れる,（由于漆，膏药等的中毒而）起斑疹；受（不良）影响，着迷，热衷 
かふん,花粉,花粉
かべ,壁,墙，壁，墙壁；障碍（物），隔阂
かへい,貨幣,货币，钱币
かま,釜,（日本用来煮饭的）饭锅，锅
かまう,構う,（常用于否定）（不）管，顾，（没）关系，介意；照顾，理睬；调戏，逗弄
かまえ,構え,构造，格局，门面，（房屋）外观；姿势；（精神）准备
かまえる,構える,修建，修筑，自立门户，居住，修盖；住在（独立的一所房屋）；取某种姿势
がまん,我慢,忍耐，忍受，自制；原谅，饶恕；自高，傲慢
かみ,髪,发，头发
かみ,加味,调味，添加调味料，加佐料；搀和，加进
かみ,上,高处，上部，上方，上游
かみ,神,神仙，神，上帝；灵魂
かみ,紙,纸；布
かみきる,噛み切る,咬断，咬破
かみきる,噛切る,咬断
かみくず,紙屑,废纸，烂纸，字纸，乱纸
かみさま,神様,老天爷，上帝，神，神的尊称；圣手，专家
かみそり,剃刀,剃刀，剃头刀，刮脸刀；头脑聪明
かみつ,過密,过密，过于集中
かみつく,,（噛みつく）咬，咬住，用牙齿咬；极力顶撞，极力反击，反噬，反咬，激烈争论，反驳
かみなり,雷,雷，雷神，大发雷鹐，咆哮如雷
かみのけ,髪の毛,头发
かむ,噛む,咬；嚼，咀嚼；有关；（水）拍动；嚼烂，通俗易懂的解释
かむ,咬む,咬
ガム,gum,口香糖
カムバック,come back,恢复（原有地位），复归，东山再起，再起，复出
カメラ,camera,照相机，摄影机，摄相机，相机
カメラマン,cameraman,摄影师，摄影记者
かめらをこわす,カメラを壊す,弄坏照相机
がめん,画面,画面，镜头；图片或照片的表面；（电影、电视）图像，映像
かもく,科目,科目，项目；学科，课程；条款
かもしれない,かも知れない,也许～，保不住，说不定
かもつ,貨物,货物
かゆ,粥,粥，稀饭
かゆい,痒い,痒的，发痒，痒痒
かよう,歌謡,歌谣，有节奏的歌，流行歌曲，歌咏，歌曲
かよう,火曜,星期二，礼拜二
かよう,通う,往来，来往，经常来往，通行；上（学，班）；通，流通，（血液等）循环
がようし,画用紙,图画纸
かようび,火曜日,星期二
から,殻,外壳，外皮，皮，壳，荚
から,空,空；（只是外表）虚
から,,起点（时间，场所）；授予方；原因，理由；相继发生；被动的动作主体
がら,柄,体格，身量，身材；人品，身份；花样
カラー,collar,衣领，硬领
カラー,color,（colour）色，彩色，特色
カラーテレビ,color television,彩色电视机
からい,辛い,辣的；咸的；严格的，刻薄的
からかう,揶揄う,逗，逗弄，戏弄，调戏，嘲笑，开玩笑
ガラス,glas,（glass）玻璃，光玻璃
からだ,体,身体，身子，肉体；体格，身材，健康，体力
からだつき,身体つき,体格
からだつき,体付き,体格，体态，体形，身子骨儿
からだにいい,体にいい,对身体好
からだにわるい,体に悪い,对身体不好
からだをうごかす,体を動かす,活动身体
からっぽ,空っぽ,空，空虚
からの,,来自～的（助词并列）
からむ,絡む,缠在～上；找茬儿纠缠，胡搅蛮缠，无理取闹
かり,仮,姑且，暂时，临时，假如，即使；假的
かり,借り,借，欠，赊；借款，欠债，赊的账款；应该报答的恩
かり,狩り,（狩）打猎，打鱼，打鸟，狩猎，摸贝，捕鸟；采集，游山，搜查，拘捕
かり,雁,雁
かりに,仮に,暂时，暂且，姑且；假定，假设
かりる,借りる,借，赊，租；借助
かる,刈る,割（草，稻），割掉，剪（毛，头发），修剪
かるい,軽い,轻的，轻浮的；轻松；轻微的；轻快的，容易的；不稳
かるいざわ,軽井沢,日本地名
かるがるしい,軽々しい,轻率，轻易，草率
カルシウム,calcium,钙
かるた,歌留多,（日本游戏）纸牌，扑克牌，骨牌，写有和歌的日本纸牌
カルチャーセンター,culture center,文化中心
カルテ,Karte,（德）（医院的）病历，诊疗簿，病历簿
かるはずみ,軽はずみ,轻率，草率
かれ,彼,他，彼，情人，男朋友
カレー,curry,咖喱，加哩
ガレージ,garage,汽车房，汽车库，车库
カレーライス,curry rice,咖哩饭
かれくさ,枯れ草,枯草，干草，饲草
かれこだち,枯木立,光秃树木
かれら,彼ら,他们，她们，它们
かれら,彼等,他们，她们，它们
かれる,嗄れる,（嗓子）嘶哑，哑
かれる,涸れる,干，干涸，枯竭，（水）涸
かれる,枯れる,凋零，枯萎，枯死，干燥
カレンダー,calendar,日历，月历，年历，挂历
かろう,過労,过劳，疲劳过度
かろうじて,辛うじて,好不容易～，好不容易才，勉勉强强
かろやか,軽やか,轻快，轻松
カロリー,calorie,（热量单位）卡，卡路里，热量
かわ,川,河，河川
かわ,革,皮革
かわ,河,河，河川
かわ,皮,皮，外皮，壳，表皮
かわいい,可愛い,可爱的，心爱的，找人喜欢的，好玩的；小巧玲珑的
かわいがる,可愛がる,喜欢，疼爱，爱，喜爱，爱抚
かわいそう,可哀想,（可哀そう）可怜
かわいらしい,可愛らしい,小巧可爱的，可爱的，好玩的
かわかす,乾かす,晒干，烤干，烘干，晾干，弄干
かわき,渇き,渴，口干，干渴，渴望
かわく,渇く,干，干燥，干枯，枯燥；渴，干渴，渴望，内心的要求
かわく,乾く,干，干燥，干枯，枯燥；渴，干渴，渴望，内心的要求
かわさき,川崎,川崎，日本地名
かわす,交わす,交换；交，交结，交叉
かわせ,為替,汇兑，汇款，汇票
かわった,変わった,与众不同，特别，出奇
かわにはしをかける,川に橋を架ける,在河上架桥
かわら,瓦,瓦；无价值的东西
かわり,代わり,代替，替代；代理；报答，补偿；添换，再来一碗
かわりに,変わりに,代替
かわりに,代わりに,代替
かわる,変わる,变，变化，改变，转变；出奇，不普通
かわる,代わる,（代る）代理；更换，更迭，代替，替代，替换
かわるがわる,代わる代わる,轮流，交替
かわをからだにかける,皮を体にかける,将皮披在身上
かん,缶,罐，桶，罐头
かん,官,官；国家，政府，国家机关，政府机关，衙门
かん,管,管子，管道，管乐器，吹奏乐器
かん,間,（地点或人与人的关系）间，中间；（时间）功夫，期间；隔阂
かん,勘,直觉，直感，第六感，灵感，第六感觉
がん,癌,癌（症），癌瘤，癌肿；灾祸，症结
かんい,簡易,简易，简单，简便
がんか,眼科,眼科
かんがい,灌漑,灌溉
かんがえ,考え,思想，想法，意见，念头；考虑；期待，愿望；打算，主意
かんがえだす,考え出す,想起，想出，开始想
かんがえる,考える,想，思，思维，思索，考虑
かんかく,感覚,感觉；趣味，癖好
かんかく,間隔,间隔，距离
かんき,換気,通风，使空气流通，换换空气，通风
かんきゃく,観客,观客，观众
がんきゅう,眼球,眼球，眼珠子，眼珠
かんきょう,環境,环境
かんきょうをつくる,環境を作る,营造环境
がんぐ,玩具,玩具
かんけい,関係,关系，关联，联系，牵连；参与；影响；有关（～方面）
かんげい,歓迎,欢迎，款待
かんげき,感激,感激，感动
かんげき,観劇,观剧，看戏
かんけつ,簡潔,简洁，简明扼要
かんげん,還元,还原，返回本来面目，返回原样，恢复原状
かんご,漢語,（古）汉语（指从中国传到日本后成为日语的一部分），汉语词，音读汉语词
かんご,看護,护理，看护
がんこ,頑固,顽固，固执；久治不愈的病，痼疾
かんこう,観光,游览，观光，旅游，旅行
かんこう,慣行,例行，习以为常的行动，经常实行，惯例
かんこう,刊行,出版，发行
かんこうきゃく,観光客,游客，游人
かんこく,勧告,劝告
かんごし,看護士,护士
かんごふ,看護婦,护士，女护士
かんさい,関西,关西地方（日本地名，指西日本特别是京都，大阪，神户一带）
かんさつ,観察,观察，仔细察看
かんさん,換算,换算，折合
かんし,監視,监视，监视人，管制
かんじ,感じ,感觉，知觉，感，印象；感情，反应，效果，触感，触觉
かんじ,漢字,汉字
かんじあう,感じあう,感觉相符（？），互相感觉（？）
がんじつ,元日,元旦
かんしゃ,感謝,感谢
かんじゃ,患者,病人，患者，病号
かんしゅう,観衆,观众
かんしゅう,慣習,习惯，习俗，老规矩，常规
がんしょ,願書,申请书，声请书，报名书，志愿书
かんしょう,干渉,干涉，干预，干扰
かんしょう,鑑賞,欣赏，鉴赏
かんじょう,感情,感情，情绪
かんじょう,勘定,数，计数，计算，算帐，打算盘；账（款）；考虑，顾及，估计
がんじょう,頑丈,坚固，结实；强健，健壮
かんしょく,感触,触觉，触感，感觉，手感
かんじる,感じる,感，感觉，觉得，感到；感动
かんじをくずす,漢字を崩す,简笔，连笔
かんしん,感心,钦佩，赞佩，佩服；觉得好，赞成，赞美
かんしん,関心,关心，关怀，感兴趣，兴趣
かんじん,肝腎,首要，重要
かんじん,肝心,首要，重要，紧要，关键
かんする,関する,有关，关于，（与）～有关
かんずる,感ずる,感觉；感动
かんせい,歓声,欢声，欢呼声
かんせい,完成,完成，落成，完工，竣工
かんぜい,関税,关税
がんせき,岩石,岩石
かんせつ,関節,关节，铰接，接头
かんせつ,間接,间接
かんせつてき,間接的,间接的，间接地
かんせん,感染,感染
かんせん,幹線,干线
かんぜん,完全,完全，完整，完善，完美，圆满
かんそ,簡素,简单朴素，简朴
かんそう,感想,感想
かんそう,乾燥,干燥，干巴
かんそうをはなす,感想を話す,谈感想
かんそく,観測,观测，观察
かんたい,寒帯,寒带
かんたん,簡単,简单，简易，容易，轻易
がんたん,元旦,元旦的清晨，元旦
かんちがい,勘違い,错认，错想，判断错误，弄错，错误；误会，误解
かんちょう,官庁,政府机关，官厅
かんづく,感づく,感到，感觉到，觉察到，察觉
かんづめ,缶詰,罐头，关起来，隔离起来
がんてい,眼底,眼底
かんてん,観点,观点，看法，见地，角度
かんでんち,乾電池,干电池
かんど,感度,灵敏度，灵敏性，（胶片）感光度
かんとう,関東,关东（日本地名，指以东京为中心的地方），关东地方（包括东京都，神奈川，埼玉，群马，枥木，茨城，千叶，六县的地域）
かんどう,感動,感动，激动
かんとく,監督,监督，监视，督促；监督者，（电影）导演，（体育）总教练
カンニング,cunning,（学生在考试时的）作弊，不正行为，（考试）作弊
かんねん,観念,观念；断念，死心，不抱希望，听天由命；唯心的
がんねん,元年,元年
かんぱい,乾杯,干杯
がんばる,頑張る,努力，坚持己见，坚持；硬主张，顽固，固执己见，顽固
かんばん,看板,招牌，广告牌，幌子；外表
がんばん,岩盤,岩盘
かんびょう,看病,护理，看护（病人）
かんぶ,幹部,干部（特指领导干部）
かんぺき,完璧,完善，完美，完整，十全十美，完美无疵
かんべん,勘弁,原谅，饶，饶恕，宽恕，容忍
がんぼう,願望,愿望，心愿
かんむり,冠,冠，冠冕，字头，字盖
かんむりょう,感無量,无限感慨
かんゆう,勧誘,劝，劝说，劝诱，邀请
かんよ,関与,干预，参与
かんよう,慣用,惯用，习用
かんよう,寛容,宽恕，宽容，容许，容忍，宽宥
かんようく,慣用句,惯用语，熟语
がんらい,元来,原本，原来，本来
かんらん,観覧,观看，参观
かんり,管理,管理，管辖，经管；保管
かんりょう,官僚,官僚，官吏
かんりょう,完了,完了，完毕，完结，完成
かんれい,慣例,惯例，老规矩
かんれき,還暦,花甲，满六十岁
かんれん,関連,关联，联系，有关系
かんろく,貫禄,尊严，威严，威信
かんわ,漢和,汉和，汉日
かんわ,緩和,缓和，和缓
き,木,树，树木；木头，木材，木料
き,気,气，空气，大气，气息；心，精神；气质，脾气，性情；意向，打算；感觉；气度，气量；气氛；心情；呼吸；香气，风味
きあつ,気圧,气压
ぎあん,議案,议案
きいろ,黄色,黄色
きいろい,黄色い,黄色的
ぎいん,議員,（国会，地方议会的）议员
きえる,消える,融化，消失，隐没，磨灭；（火，灯）熄灭
きおく,記憶,记忆，记忆力，记性
きおくれ,気後れ,畏缩，胆怯
きおん,気温,气温
きおんがさがる,気温が下がる,气温下降
きかい,機会,机会
きかい,機械,机器，机械
きかい,器械,器械，器具，仪器
きがい,危害,危害；灾祸，灾害
ぎかい,議会,议会，国会
きかいがうごく,機械が動く,机械运转
きかいかがすすむ,機械化が進む,发展机械化
きかいをうかがう,機会をうかがう,伺机，寻找机会
きがうえる,木を植える,种树
きがえ,着替え,换衣服，换的衣服，替换的衣服
きがえる,着替える,换衣服
きがかり,気がかり,挂念，担心，惦念
きがきでない,気が気でない,因担心而无法平静的样子，焦急，忧虑
きかく,規格,规格，标准
きかく,企画,规划，计划
きかざる,着飾る,盛装，打扮
きがすすまない,気が進まない,不愿意
きがちる,気が散る,分散，分心
きがつく,気が付く,发现
きがつよい,気が強い,胆子壮，刚强，刚毅
きがながい,気が長い,慢性子；有耐性
きがね,気兼ね,多心，客气，顾虑，顾忌
きがみじかい,気が短い,性急
きがる,気軽,轻松愉快的，舒畅的，爽快的，随随便便，快活的，随便
きかん,機関,机关，组织，机构，单位；机械，装置（蒸汽机，内燃机，水力机的总称）
きかん,季刊,季刊
きかん,期間,期间，期限
きかん,器官,器官
きかんしゃ,機関車,火车头，机车
きき,機器,机械和器具，机器，机械；仪器；器械，器具
きき,危機,危机，险关
きぎ,木々,（木木，きガス）许多树，各种树
ききいる,聞き入る,（聞き入る）专心听，只顾听，倾听
ききとり,聞き取り,听懂，听取，听力
ききめ,効き目,效验，效力，灵验
ききゅう,気球,气球，轻气球
ききょう,帰京,返京，回首都
きぎょう,企業,企业，筹办事业
ぎきょく,戯曲,剧本，戏剧
ききん,飢饉,饥荒，饥馑，粮荒，灾荒；缺乏
ききん,基金,基金
きく,菊,菊，菊花；皇室的徽章
きく,利く,有效，奏效，见效，起作用
きく,聴く,听，听说，听从，答应，打听，问
きく,聞く,听，听说，听到；问，打听；听从
きく,効く,有效，奏效，见效，起作用
きぐ,器具,器具，用具，器械
きげき,喜劇,笑剧，喜剧，滑稽剧
ぎけつ,議決,决议，议决，表决
きけん,棄権,弃权
きけん,危険,危险
きげん,機嫌,心情，情绪；痛快，畅快，快活；起居，安否
きげん,期限,期限
きげん,起源,起源
きこう,機構,组织，机构；（机械等的）构造，结构
きこう,気候,气候
きごう,記号,记号，符号，谱号
きこえる,聞こえる,（聞える）听得见，能听见，听到，听得到，听见；闻名，出名
きこく,帰国,回国，归国；回到家乡，回乡
ぎこちない,,（动作）粗笨的，笨拙，不灵活的；生硬的，不熟练，不流畅的
きこん,既婚,已婚
きざ,気障,装模作样，装腔作势；刺眼，讨厌，华丽
きさい,記載,记载，写上，刊登
きさく,気さく,坦率，没架子，平易近人，直率，亲切
きざし,兆し,兆头，征兆，征象，征候，预兆，苗头
きざむ,刻む,切细，剁碎；刻，雕刻
きし,岸,岸，滨
きじ,記事,新闻，消息，报道，报导，记事
きじ,生地,本来面目，本色；素质；（布等的）质地，布料
ぎし,技師,工程师，技师
ぎしき,儀式,仪式，典礼
きしつ,気質,气质，性质，性格，性情，脾气
きじつ,期日,日期，期限
ぎじどう,議事堂,会议厅，国会议事堂，国会大厦
きしむ,軋む,吱吱嘎嘎响，吱吱作响
きしゃ,記者,记者，新闻记者
きしゃ,汽車,火车，列车
きじゅつ,記述,记述
ぎじゅつ,技術,技术，工艺
ぎじゅつがすぐれている,技術が優れている,技术先进、发达
ぎじゅつてき,技術的,技术的，技术性的，技术上的
きじゅん,規準,规范，标准，准则，准绳
きじゅん,基準,标准，基准，规格，准则
きしょう,起床,起床
きしょう,気象,气象，天性，秉性，脾气
きしょう,気性,禀性，脾气，性情，秉性
きしょうちょう,気象庁,气象局气象厅，运输省的外局之一，负责有关气象的业务，1956年（昭和31年）由中央气象台升格而成
きず,傷,伤，创伤；瑕疵，缺陷
きすう,奇数,奇数，单数
きずく,築く,筑，构筑，修建，建立，构成，形成
きずつく,傷つく,受伤，负伤，弄出瑕疵，遭受损害，受到创伤
きずつく,傷付く,伤，创伤，瑕疵，缺陷；受伤，负伤，碰伤，擦伤；（感情）挫伤，受到创伤
きずつける,傷付ける,伤，弄伤；损伤，弄出（伤痕，毛病）；败坏
きせい,帰省,归省，回家，探亲，回家探亲
きせい,規制,规定，限制，控制，规则
ぎせい,犠牲,牺牲，代价
きせき,奇跡,奇迹，不可思议的事
きせきてき,奇跡的,奇迹性，不可思议的
きせつ,季節,季节
きせる,着せる,给～穿上，蒙上，盖上，镀上；使人蒙受，嫁（祸），加（罪）
きせん,汽船,轮船
きそ,基礎,根基，础石，基础
きそいあう,競い合う,互相比赛
きそう,競う,竞争，争夺，竞赛，比赛；互相
きぞう,寄贈,赠送，捐赠，赠与，呈献
ぎぞう,偽造,伪造，假造
きそく,規則,规则，规章，章程
きぞく,貴族,贵族
ぎそく,義足,假腿，义足，义肢
きた,北,北，北方
ギター,guitar,吉他，六弦琴
きたい,期待,期待，期望，希望，指望
きたい,気体,气体，气
ぎだい,議題,议题，讨论题目
きたいをよせる,期待を寄せる,寄予希望
きたえる,鍛える,锻炼；锤炼，锻（力）
きたきゅうしゅう,北九州,位于日本福冈县的一座城市，因地处日本九州岛的最北端而得名
きたく,帰宅,回家
きだて,気立て,性情，脾气
きたない,汚い,污秽的，脏，肮脏的；卑劣的，卑鄙的
きたる,来る,到来；下次的，即将来临的
きち,基地,基地，根据地
きちっと,,好好地，整整齐齐，端正
きちょう,貴重,贵重，宝贵，珍贵
ぎちょう,議長,（会议的）主席，主持人，司仪；（国会的）主席，议长
きちょうめん,几帳面,规规矩矩，一丝不苟，（自律）严格，（注意）周到
きちんと,,整洁，干干净净，准时，如期，好好地，整整齐齐，正，恰，好好地；准确，不多不少；有规律，规规矩矩
きつい,,强烈的，厉害，刚强的，严正的；严厉的，苛刻的；紧的，瘦小的
きっかけ,,起首，开端，起因；机会，时机
きっかり,,正好，正，恰
きづく,気づく,注意到，理会到，察觉，意识到，认识到，觉察到，发觉
きづく,気付く,发觉，察觉，注意到，理会到，想到，苏醒
きっさ,喫茶,喝茶
きっさてん,喫茶店,咖啡店，茶馆，小吃店
ぎっしり,,（装成，挤成）满满地
きっちり,,正好，整，恰好；合适
きって,切手,邮票
きってをあつめる,切手を集める,集邮
きってをてちょうにはさむ,切手を手帳に挟む,将邮票夹进笔记本
きってをはる,切手を貼る,贴邮票
きっと,,一定，必定，准保（推测）
きっぱり,,断然，果断，清楚，干脆，砍钉截铁地
きっぷ,切符,（乘车，船，入场等用的）票，车票，票证，劵
きっぷをとる,切符を取る,定票
きてい,規定,规定
きてん,機転,机灵，机智，心眼快
きてん,起点,起点，出发点；发车站
きどう,軌道,轨道，钢轨，轨道，轨道
きどる,気取る,装模作样，装腔作势，摆架子，娇饰；假装，装作，冒充
きなが,気長,缓慢，耐心，耐性，慢性（子）
きにいる,気に入る,中意，称心，如意，喜欢，喜爱；满意
きにする,気にする,放在心上，介意，在乎，在意
きになる,気になる,牵挂，放心不下，成了心事；有意，有心，想要
きにのぼる,木に登る,爬树
きにゅう,記入,记上，写上，填写
きぬ,絹,丝绸，绸子，丝织品，丝
きねん,記念,纪念
きのう,機能,机能，功能，作用
きのう,昨日,昨天，昨儿，昨儿个，近来
ぎのう,技能,技能，本领
ぎのうをみにつける,技能を身につける,掌握技能
きのどく,気の毒,可怜，可悯，可悲，悲惨，可惜；对不起
きはく,気迫,魄力，气魄，气势
きばつ,奇抜,出奇，奇特，新奇，新颖
きばらし,気晴らし,解闷，散心，消遣
きはん,規範,规范，模范，标准，楷模
きばん,基盤,基础，底座，底子，基岩
きびしい,厳しい,严，严格的，严厉的，严峻，残酷的，毫不留情的；厉害的，很甚的
きひん,気品,品格，气度，气派，文雅
きびん,機敏,敏捷，机敏，机灵
きふ,寄付,捐献，捐输，捐赠，捐钱，捐助，赠给
きふう,気風,风气，风尚，习气，特性
きふく,起伏,起伏，凸凹，高低；荣枯，盛衰
きぶん,気分,心情，情绪，心绪，心境；（身体）舒服（与否）
きぼ,規模,规模，范围
きぼう,希望,希望，期望，愿望
きほん,基本,基本，基础
きまえ,気前,气度，气派，气量
きまぐれ,気紛れ,心浮气躁，心情浮躁；反复无常，（脾气）捉摸不定，心情（作风）漂浮
きまじめ,生真面目,一本正经，非常认真，过于耿直，死板
きまずい,気まずい,难为情，不融洽，发窘的，尴尬
きまつ,期末,期末
きまま,気まま,任性，随便，随心所欲
きまり,決まり,规定，决定；归结，结束；面子；常例，老一套
きまりがわるい,決まりが悪い,不好意思，难为情
きまりわるい,決まり悪い,不好意思，拉不下脸，害羞，难为情
きまる,決まる,定，决定，规定；一定
きみ,君,你；国君，帝王，国王；主人
きみ,気味,感触，感受，心情，心绪；有点（～倾向），（觉得）稍微
きみがわるい,気味が悪い,令人毛骨悚然，令人不快
きみょう,奇妙,奇怪，出奇，奇异，怪异
ぎむ,義務,义务，本分
きむずかしい,気難しい,爱挑剔；绷着脸，板着脸，郁郁不乐的，眉头打了个结
きめい,記名,记名，签名
きめる,決める,定，决定，决心，约定，规定，指定；独自认定，断定
きもち,気持ち,（気持）感，感受，心情，心绪，情绪，感情
きもの,着物,衣服，衣着，衣服的总称；（特指日本民族服装）和服
ぎもん,疑問,疑问
きゃく,客,客人；顾客，主顾，用户
きやく,規約,规章，章程，规约，协约
ぎゃく,逆,逆，倒，反
ぎゃくじょう,逆上,气得要命，气得发昏，狂乱，冲昏头脑
きゃくしょく,脚色,改写成戏剧或电影，添枝加叶，夸大其词，改编，改编成脚本
きゃくせき,客席,观览席，客人座席，宴席，客位
ぎゃくせつ,逆説,反论，僻论，似是而非的论点，邪说，异说
ぎゃくてん,逆転,反转，倒转，（飞机）翻跟头，机器的轮子倒转；逆转，倒过来，颠倒过来
きゃくほん,脚本,脚本，剧本
きゃくま,客間,客厅
きゃくをてんへあんないする,客を店へ案内する,把客人带到店里
きゃしゃ,華奢,苗条，纤细，窈窕，纤纤，娇嫩
きやすめ,気休め,宽心，宽慰，（暂时的）安心，安慰
きゃっかん,客観,客观
きゃっかんてき,客観的,客观的
きゃっこうをあびる,脚光を浴びる,显露头脚，受到注目
キャッチ,catch,捕捉，抓住，接球，接（球）手
キャプテン,captain,首领，头目，头头儿；船长，舰长；组长，班长；（球队等的）队长
キャベツ,cabbage,包心菜，莲花白
キャリア,career,履历，经历，生涯，职业，高阶公务员
ギャング,gang,暴力团，盗伙，伙匪，一帮歹徒；黑社会，暴力集团，暴力团
キャンパス,campus,（大学的）校园，学校场地
キャンプ,camp,露营，野营，帐篷，帐幕，基地
きゅう,急,紧急，危机；陡峭，急剧，湍急；突然，忽然
きゅう,級,等级，班级，年级
きゅう,旧,旧，陈旧，往昔，故旧；前任；旧历，农历
きゅう,球,球，球形，球体
きゅうえん,救援,救援，支援
きゅうか,休暇,休假
きゅうがく,休学,休学
きゅうぎょう,休業,停止营业，停业，停止工作，停工
きゅうきょく,究極,毕竟，究竟，最终
きゅうくつ,窮屈,窄小，狭窄，瘦小，紧；（心情）不舒畅，（形动）不自由；（物质）缺乏
きゅうけい,休憩,休息，歇
きゅうげき,急激,急剧，骤然
きゅうこう,急行,急往，急趋；快车
きゅうこう,休講,停止讲课，停课
きゅうこん,求婚,求婚
きゅうこん,球根,球根，鳞茎，球茎
きゅうさい,救済,救济
きゅうじ,給仕,伺候（吃饭）；（办公室的）勤务，（饭店的）服务员，工友，茶房
きゅうじつ,休日,休息日，假日，休假日
きゅうしゅう,九州,日本地名，九州地区
きゅうしゅう,吸収,吸收，吸取
きゅうじょ,救助,救助，搭救，拯救，抢救，救护
きゅうしょく,給食,（学校里）供给饮食，提供伙食
きゅうせん,休戦,停战
きゅうそく,急速,迅速，快速
きゅうそく,休息,休息
きゅうち,旧知,故知，老友，老朋友，故交，旧友
きゅうでん,宮殿,宫殿
きゅうに,急に,突然，忽然，猛然，骤然
ぎゅうにく,牛肉,牛肉
ぎゅうにゅう,牛乳,牛奶
きゅうほう,急報,紧急通报，赶紧报导，警报，紧急通知，紧急报告
きゅうぼう,窮乏,贫穷，贫困
きゅうよ,給与,供给，供应，支给，供给物
きゅうよう,休養,休养
きゅうりょう,給料,工资，薪金，薪水
きゅうりょう,丘陵,丘陵
